D0130003,	原住民族基本法,
D0130006,	原住民族工作權保障法,
D0000158,	客家委員會組織法,
D0140005,	客家基本法,
T0000001,	行政院主計處組織法,
T0000004,	行政院主計總處組織法,
T0020005,	決算法,
T0020001,	預算法,
T0030001,	會計法,
T0040001,	統計法,
S0000024,	行政院人事行政總處公務人力發展中心組織法,
S0000025,	行政院人事行政總處地方行政研習中心組織法,
S0000023,	行政院人事行政總處組織法,
A0010102,	行政法人法,
S0110038,	中央政府機關總員額法,
G0410001,	中央銀行法,
H0190006,	國立故宮博物院組織法,
D0000153,	中央選舉委員會組織法,
J0150011,	公平交易委員會組織法,
J0150002,	公平交易法,
J0150017,	多層次傳銷管理法,
P0000008,	國家通訊傳播委員會組織法,
P0010005,	通訊傳播基本法,
K0060001,	電信法,
P0050008,	有線廣播電視法,
P0050001,	廣播電視法,
P0050013,	衛星廣播電視法,
K0000146,	飛航安全調查委員會組織法,
K0090057,	飛航事故調查法,
A0020064,	立法委員行為法,
A0010043,	立法院各委員會組織法,
A0010044,	立法院組織法,
A0020058,	立法院職權行使法,
A0010056,	公務員懲戒委員會組織法,
A0010100,	少年及家事法院組織法,
A0010051,	司法院組織法,
A0010055,	行政法院組織法,
A0010058,	法官學院組織法,
A0010053,	法院組織法,
A0010090,	智慧財產法院組織法,
A0030159,	司法院大法官審理案件法,
B0010010,	公證法,
B0010015,	民刑事訴訟卷宗滅失案件處理法,
B0010001,	民事訴訟法,
B0010002,	民事訴訟法施行法,
B0010008,	非訟事件法,
B0000007,	涉外民事法律適用法,
B0010006,	破產法,
B0010007,	破產法施行法,
B0010004,	強制執行法,
B0010012,	提存法,
B0010014,	外國法院委託事件協助法,
C0010027,	刑事妥速審判法,
C0010001,	刑事訴訟法,
C0010002,	刑事訴訟法施行法,
C0010009,	刑事補償法,
C0010008,	提審法,
A0030155,	公務員懲戒法,
A0030154,	行政訴訟法,
A0030156,	行政訴訟法施行法,
A0030215,	智慧財產案件審理法,
C0010011,	少年事件處理法,
B0010048,	家事事件法,
A0030243,	法官法,
A0030157,	法律扶助法,
A0010063,	考試院組織法,
R0000001,	考選部組織法,
R0020001,	典試法,
